annee,ecole_id,academie,departement,rep_status,niveau,discipline,taille_classe,effectif_ecole,ips_ecole,exposition_dedoublement,score,taux_maitrise
2018,6,Nantes,Nord,REP+,CE1,Français,21,16,-14.71,0,50.52,47.3
2018,6,Nantes,Nord,REP+,CE1,Mathématiques,21,16,-14.71,0,48.46,55.63
2018,6,Nantes,Nord,REP+,CM1,Français,18,16,-14.71,1,61.73,50.13
2018,6,Nantes,Nord,REP+,CM1,Mathématiques,22,16,-14.71,0,59.39,54.49
2018,6,Nantes,Nord,REP+,CM2,Français,17,16,-14.71,1,78.81,63.06
2018,6,Nantes,Nord,REP+,CM2,Mathématiques,16,16,-14.71,1,72.13,62.08
2018,6,Nantes,Nord,REP+,6e,Français,18,16,-14.71,1,76.5,68.71
2018,6,Nantes,Nord,REP+,6e,Mathématiques,22,16,-14.71,0,62.04,60.41
2018,7,Paris,Paris,Hors EP,CP,Français,22,27,-14.63,0,65.14,63.88
2018,7,Paris,Paris,Hors EP,CP,Mathématiques,21,27,-14.63,0,64.68,56.56
2018,7,Paris,Paris,Hors EP,CE1,Français,23,27,-14.63,0,74.26,68.19
2018,7,Paris,Paris,Hors EP,CE1,Mathématiques,27,27,-14.63,0,62.45,53.99
2018,7,Paris,Paris,Hors EP,CM1,Français,23,27,-14.63,0,76.84,68.13
2018,7,Paris,Paris,Hors EP,CM1,Mathématiques,21,27,-14.63,0,74.95,67.11
2018,7,Paris,Paris,Hors EP,CM2,Français,30,27,-14.63,0,82.89,67.1
2018,7,Paris,Paris,Hors EP,CM2,Mathématiques,23,27,-14.63,0,71.16,60.43
2018,7,Paris,Paris,Hors EP,6e,Français,25,27,-14.63,0,89.37,72.13
2018,7,Paris,Paris,Hors EP,6e,Mathématiques,22,27,-14.63,0,73.98,64.49
2018,8,Lyon,Puy-de-Dôme,REP,CP,Français,18,18,13.49,1,60.71,48.95
2018,8,Lyon,Puy-de-Dôme,REP,CP,Mathématiques,23,18,13.49,0,46.32,41.02
2018,8,Lyon,Puy-de-Dôme,REP,CE1,Français,23,18,13.49,0,72.19,58.23
2018,8,Lyon,Puy-de-Dôme,REP,CE1,Mathématiques,17,18,13.49,1,71.16,72.03
2018,8,Lyon,Puy-de-Dôme,REP,CM1,Français,16,18,13.49,1,77.51,71.6
2018,8,Lyon,Puy-de-Dôme,REP,CM1,Mathématiques,19,18,13.49,0,64.03,57.87
2018,8,Lyon,Puy-de-Dôme,REP,CM2,Français,15,18,13.49,1,82.55,69.8
2018,8,Lyon,Puy-de-Dôme,REP,CM2,Mathématiques,19,18,13.49,0,68.22,63.75
2018,8,Lyon,Puy-de-Dôme,REP,6e,Français,21,18,13.49,0,77.62,69.54
2018,8,Lyon,Puy-de-Dôme,REP,6e,Mathématiques,18,18,13.49,1,85.62,69.61
2018,9,Lille,Saône-et-Loire,Hors EP,CP,Français,25,23,18.88,0,64.53,53.32
2018,9,Lille,Saône-et-Loire,Hors EP,CP,Mathématiques,27,23,18.88,0,64.35,61.16
2018,9,Lille,Saône-et-Loire,Hors EP,CE1,Français,20,23,18.88,0,80.64,72.11
2018,9,Lille,Saône-et-Loire,Hors EP,CE1,Mathématiques,21,23,18.88,0,70.44,64.22
2018,9,Lille,Saône-et-Loire,Hors EP,CM1,Français,24,23,18.88,0,77.55,67.22
2018,9,Lille,Saône-et-Loire,Hors EP,CM1,Mathématiques,23,23,18.88,0,77.45,75.02
2018,9,Lille,Saône-et-Loire,Hors EP,CM2,Français,18,23,18.88,0,88.2,75.86
2018,9,Lille,Saône-et-Loire,Hors EP,CM2,Mathématiques,25,23,18.88,0,78.29,59.45
2018,9,Lille,Saône-et-Loire,Hors EP,6e,Français,25,23,18.88,0,95.74,72.43
2018,9,Lille,Saône-et-Loire,Hors EP,6e,Mathématiques,26,23,18.88,0,82.59,70.85
2018,10,Bordeaux,Ain,REP,CP,Français,23,23,6.99,0,59.64,57.75
2018,10,Bordeaux,Ain,REP,CP,Mathématiques,23,23,6.99,0,53.31,55.39
2018,10,Bordeaux,Ain,REP,CE1,Français,18,23,6.99,1,72.14,60.57
2018,10,Bordeaux,Ain,REP,CE1,Mathématiques,21,23,6.99,0,51.84,54.16
2018,10,Bordeaux,Ain,REP,CM1,Français,19,23,6.99,0,73.21,68.54
2018,10,Bordeaux,Ain,REP,CM1,Mathématiques,24,23,6.99,0,63.73,50.47
2018,10,Bordeaux,Ain,REP,CM2,Français,19,23,6.99,0,67.66,58.42
2018,10,Bordeaux,Ain,REP,CM2,Mathématiques,23,23,6.99,0,69.21,58.57
2018,10,Bordeaux,Ain,REP,6e,Français,16,23,6.99,1,87.99,68.75
2018,10,Bordeaux,Ain,REP,6e,Mathématiques,17,23,6.99,1,86.24,79.42
2018,11,Nantes,Bas-Rhin,REP,CP,Français,14,14,0.86,1,74.38,55.26
2018,11,Nantes,Bas-Rhin,REP,CP,Mathématiques,12,14,0.86,1,66.76,52.49
2018,11,Nantes,Bas-Rhin,REP,CE1,Français,17,14,0.86,1,72.76,68.71
2018,11,Nantes,Bas-Rhin,REP,CE1,Mathématiques,12,14,0.86,1,71.77,69.14
2018,11,Nantes,Bas-Rhin,REP,CM1,Français,14,14,0.86,1,78.16,69.5
2018,11,Nantes,Bas-Rhin,REP,CM1,Mathématiques,12,14,0.86,1,73.44,64.18
2018,11,Nantes,Bas-Rhin,REP,CM2,Français,14,14,0.86,1,86.6,68.6
2018,11,Nantes,Bas-Rhin,REP,CM2,Mathématiques,13,14,0.86,1,85.77,69.61
2018,11,Nantes,Bas-Rhin,REP,6e,Français,12,14,0.86,1,88.01,79.07
2018,11,Nantes,Bas-Rhin,REP,6e,Mathématiques,13,14,0.86,1,90.08,80.54
2018,12,Paris,Bouches-du-Rhône,REP+,CP,Français,14,22,-2.46,1,65.92,57.54
2018,12,Paris,Bouches-du-Rhône,REP+,CP,Mathématiques,19,22,-2.46,0,51.7,42.14
2018,12,Paris,Bouches-du-Rhône,REP+,CE1,Français,16,22,-2.46,1,55.5,48.77
2018,12,Paris,Bouches-du-Rhône,REP+,CE1,Mathématiques,20,22,-2.46,0,51.26,51.24
2018,12,Paris,Bouches-du-Rhône,REP+,CM1,Français,15,22,-2.46,1,58.31,54.92
2018,12,Paris,Bouches-du-Rhône,REP+,CM1,Mathématiques,18,22,-2.46,1,67.77,64.59
2018,12,Paris,Bouches-du-Rhône,REP+,CM2,Français,19,22,-2.46,0,67.23,61.86
2018,12,Paris,Bouches-du-Rhône,REP+,CM2,Mathématiques,20,22,-2.46,0,56.73,52.68
2018,12,Paris,Bouches-du-Rhône,REP+,6e,Français,19,22,-2.46,0,72.5,62.33
2018,12,Paris,Bouches-du-Rhône,REP+,6e,Mathématiques,20,22,-2.46,0,63.71,57.73
2018,13,Lyon,Gironde,Hors EP,CP,Français,12,21,-17.79,0,66.81,64.18
2018,13,Lyon,Gironde,Hors EP,CP,Mathématiques,17,21,-17.79,0,67.76,66.52
2018,13,Lyon,Gironde,Hors EP,CE1,Français,21,21,-17.79,0,70.85,69.95
2018,13,Lyon,Gironde,Hors EP,CE1,Mathématiques,18,21,-17.79,0,67.1,57.65
2018,13,Lyon,Gironde,Hors EP,CM1,Français,14,21,-17.79,0,75.87,64.8
2018,13,Lyon,Gironde,Hors EP,CM1,Mathématiques,20,21,-17.79,0,82.81,64.4
2018,13,Lyon,Gironde,Hors EP,CM2,Français,19,21,-17.79,0,79.28,71.29
2018,13,Lyon,Gironde,Hors EP,CM2,Mathématiques,18,21,-17.79,0,73.63,69.71
2018,13,Lyon,Gironde,Hors EP,6e,Français,16,21,-17.79,0,87.46,69.13
2018,13,Lyon,Gironde,Hors EP,6e,Mathématiques,16,21,-17.79,0,88.79,74.43
2018,14,Lille,Hérault,REP,CP,Français,17,25,-4.11,1,71.31,61.83
2018,14,Lille,Hérault,REP,CP,Mathématiques,24,25,-4.11,0,50.83,48.91
2018,14,Lille,Hérault,REP,CE1,Français,22,25,-4.11,0,66.69,70.73
2018,14,Lille,Hérault,REP,CE1,Mathématiques,21,25,-4.11,0,56.53,58.82
2018,14,Lille,Hérault,REP,CM1,Français,19,25,-4.11,0,68.11,61.18
2018,14,Lille,Hérault,REP,CM1,Mathématiques,22,25,-4.11,0,57.16,45.92
2018,14,Lille,Hérault,REP,CM2,Français,16,25,-4.11,1,76.48,64.71
2018,14,Lille,Hérault,REP,CM2,Mathématiques,20,25,-4.11,0,76.42,72.5
2018,14,Lille,Hérault,REP,6e,Français,19,25,-4.11,0,78.17,66.12
2018,14,Lille,Hérault,REP,6e,Mathématiques,20,25,-4.11,0,73.54,68.1
2018,15,Bordeaux,Loire,REP,CP,Français,29,24,0.08,0,49.11,55.56
2018,15,Bordeaux,Loire,REP,CP,Mathématiques,23,24,0.08,0,53.12,50.84
2018,15,Bordeaux,Loire,REP,CE1,Français,23,24,0.08,0,54.0,53.87
2018,15,Bordeaux,Loire,REP,CE1,Mathématiques,21,24,0.08,0,59.3,60.75
2018,15,Bordeaux,Loire,REP,CM1,Français,24,24,0.08,0,61.32,58.97
2018,15,Bordeaux,Loire,REP,CM1,Mathématiques,22,24,0.08,0,65.62,50.46
2018,15,Bordeaux,Loire,REP,CM2,Français,22,24,0.08,0,60.45,48.63
2018,15,Bordeaux,Loire,REP,CM2,Mathématiques,26,24,0.08,0,66.84,56.85
2018,15,Bordeaux,Loire,REP,6e,Français,19,24,0.08,0,63.77,55.65
2018,15,Bordeaux,Loire,REP,6e,Mathématiques,29,24,0.08,0,67.07,57.81
2018,16,Nantes,Maine-et-Loire,REP,CP,Français,15,15,1.19,1,70.7,64.8
2018,16,Nantes,Maine-et-Loire,REP,CP,Mathématiques,17,15,1.19,1,61.05,61.0
2018,16,Nantes,Maine-et-Loire,REP,CE1,Français,19,15,1.19,0,56.88,49.24
2018,16,Nantes,Maine-et-Loire,REP,CE1,Mathématiques,18,15,1.19,1,67.28,67.77
2018,16,Nantes,Maine-et-Loire,REP,CM1,Français,14,15,1.19,1,83.69,72.57
2018,16,Nantes,Maine-et-Loire,REP,CM1,Mathématiques,16,15,1.19,1,81.18,68.4
2018,16,Nantes,Maine-et-Loire,REP,CM2,Français,13,15,1.19,1,80.12,71.75
2018,16,Nantes,Maine-et-Loire,REP,CM2,Mathématiques,12,15,1.19,1,82.01,68.07
2018,16,Nantes,Maine-et-Loire,REP,6e,Français,18,15,1.19,1,76.37,63.0
2018,16,Nantes,Maine-et-Loire,REP,6e,Mathématiques,12,15,1.19,1,80.43,70.93
2018,17,Paris,Moselle,REP,CP,Français,16,21,2.44,1,70.47,66.24
2018,17,Paris,Moselle,REP,CP,Mathématiques,20,21,2.44,0,56.0,54.56
2018,17,Paris,Moselle,REP,CE1,Français,24,21,2.44,0,56.5,51.89
2018,17,Paris,Moselle,REP,CE1,Mathématiques,17,21,2.44,1,63.65,52.06
2018,17,Paris,Moselle,REP,CM1,Français,17,21,2.44,1,76.97,69.01
2018,17,Paris,Moselle,REP,CM1,Mathématiques,19,21,2.44,0,60.95,60.95
2018,17,Paris,Moselle,REP,CM2,Français,21,21,2.44,0,69.87,59.25
2018,17,Paris,Moselle,REP,CM2,Mathématiques,20,21,2.44,0,69.34,54.91
2018,17,Paris,Moselle,REP,6e,Français,19,21,2.44,0,78.57,63.93
2018,17,Paris,Moselle,REP,6e,Mathématiques,19,21,2.44,0,67.85,67.82
2018,18,Lyon,Nord,Hors EP,CP,Français,20,27,-28.92,0,65.41,54.12
2018,18,Lyon,Nord,Hors EP,CP,Mathématiques,25,27,-28.92,0,68.22,55.5
2018,18,Lyon,Nord,Hors EP,CE1,Français,21,27,-28.92,0,70.89,71.26
2018,18,Lyon,Nord,Hors EP,CE1,Mathématiques,20,27,-28.92,0,68.85,70.92
2018,18,Lyon,Nord,Hors EP,CM1,Français,19,27,-28.92,0,71.86,61.75
2018,18,Lyon,Nord,Hors EP,CM1,Mathématiques,22,27,-28.92,0,75.59,67.61
2018,18,Lyon,Nord,Hors EP,CM2,Français,19,27,-28.92,0,84.95,69.88
2018,18,Lyon,Nord,Hors EP,CM2,Mathématiques,26,27,-28.92,0,70.51,59.76
2018,18,Lyon,Nord,Hors EP,6e,Français,24,27,-28.92,0,86.56,76.1
2018,18,Lyon,Nord,Hors EP,6e,Mathématiques,19,27,-28.92,0,87.05,69.02
2018,19,Lille,Paris,REP,CP,Français,13,18,-9.68,1,69.05,63.16
2018,19,Lille,Paris,REP,CP,Mathématiques,14,18,-9.68,1,69.37,59.97
2018,19,Lille,Paris,REP,CE1,Français,16,18,-9.68,1,71.05,60.21
2018,19,Lille,Paris,REP,CE1,Mathématiques,17,18,-9.68,1,64.44,56.76
2018,19,Lille,Paris,REP,CM1,Français,19,18,-9.68,0,61.26,44.59
2018,19,Lille,Paris,REP,CM1,Mathématiques,20,18,-9.68,0,73.51,62.96
2018,19,Lille,Paris,REP,CM2,Français,12,18,-9.68,1,79.44,67.59
2018,19,Lille,Paris,REP,CM2,Mathématiques,16,18,-9.68,1,72.83,67.42
2018,19,Lille,Paris,REP,6e,Français,17,18,-9.68,1,79.11,72.29
2018,19,Lille,Paris,REP,6e,Mathématiques,21,18,-9.68,0,71.91,62.21
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CP,Français,22,31,-15.25,0,67.31,58.82
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CP,Mathématiques,31,31,-15.25,0,54.69,60.53
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CE1,Français,23,31,-15.25,0,72.31,65.77
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CE1,Mathématiques,24,31,-15.25,0,66.57,66.33
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CM1,Français,25,31,-15.25,0,66.26,59.97
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CM1,Mathématiques,24,31,-15.25,0,70.23,62.35
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CM2,Français,22,31,-15.25,0,74.3,67.93
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,CM2,Mathématiques,25,31,-15.25,0,64.33,62.67
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,6e,Français,27,31,-15.25,0,78.86,62.04
2018,20,Bordeaux,Puy-de-Dôme,Hors EP,6e,Mathématiques,28,31,-15.25,0,79.74,81.14
2018,21,Nantes,Saône-et-Loire,REP,CP,Français,23,24,9.8,0,60.31,53.4
2018,21,Nantes,Saône-et-Loire,REP,CP,Mathématiques,20,24,9.8,0,52.22,54.46
2018,21,Nantes,Saône-et-Loire,REP,CE1,Français,25,24,9.8,0,54.81,50.15
2018,21,Nantes,Saône-et-Loire,REP,CE1,Mathématiques,22,24,9.8,0,55.47,57.48
2018,21,Nantes,Saône-et-Loire,REP,CM1,Français,15,24,9.8,1,74.46,61.72
2018,21,Nantes,Saône-et-Loire,REP,CM1,Mathématiques,15,24,9.8,1,70.84,58.6
2018,21,Nantes,Saône-et-Loire,REP,CM2,Français,20,24,9.8,0,77.38,66.4
2018,21,Nantes,Saône-et-Loire,REP,CM2,Mathématiques,18,24,9.8,1,79.92,74.59
2018,21,Nantes,Saône-et-Loire,REP,6e,Français,19,24,9.8,0,74.18,68.23
2018,21,Nantes,Saône-et-Loire,REP,6e,Mathématiques,20,24,9.8,0,77.29,67.49
2018,22,Paris,Ain,Hors EP,CP,Français,18,19,-2.53,0,64.66,62.4
2018,22,Paris,Ain,Hors EP,CP,Mathématiques,20,19,-2.53,0,62.3,56.88
2018,22,Paris,Ain,Hors EP,CE1,Français,24,19,-2.53,0,60.03,48.34
2018,22,Paris,Ain,Hors EP,CE1,Mathématiques,19,19,-2.53,0,78.37,69.71
2018,22,Paris,Ain,Hors EP,CM1,Français,23,19,-2.53,0,72.07,58.41
2018,22,Paris,Ain,Hors EP,CM1,Mathématiques,22,19,-2.53,0,75.36,68.99
2018,22,Paris,Ain,Hors EP,CM2,Français,21,19,-2.53,0,85.25,73.76
2018,22,Paris,Ain,Hors EP,CM2,Mathématiques,23,19,-2.53,0,82.83,63.22
2018,22,Paris,Ain,Hors EP,6e,Français,15,19,-2.53,0,96.2,86.36
2018,22,Paris,Ain,Hors EP,6e,Mathématiques,18,19,-2.53,0,80.33,70.12
2018,23,Lyon,Bas-Rhin,REP+,CP,Français,20,21,-4.46,0,47.72,45.95
2018,23,Lyon,Bas-Rhin,REP+,CP,Mathématiques,19,21,-4.46,0,54.78,61.18
2018,23,Lyon,Bas-Rhin,REP+,CE1,Français,25,21,-4.46,0,43.02,48.53
2018,23,Lyon,Bas-Rhin,REP+,CE1,Mathématiques,24,21,-4.46,0,47.06,53.25
2018,23,Lyon,Bas-Rhin,REP+,CM1,Français,24,21,-4.46,0,57.39,57.21
2018,23,Lyon,Bas-Rhin,REP+,CM1,Mathématiques,23,21,-4.46,0,43.94,45.3
2018,23,Lyon,Bas-Rhin,REP+,CM2,Français,21,21,-4.46,0,56.01,61.49
2018,23,Lyon,Bas-Rhin,REP+,CM2,Mathématiques,26,21,-4.46,0,60.38,57.34
2018,23,Lyon,Bas-Rhin,REP+,6e,Français,25,21,-4.46,0,63.22,59.0
2018,23,Lyon,Bas-Rhin,REP+,6e,Mathématiques,19,21,-4.46,0,67.35,61.1
2018,24,Lille,Bouches-du-Rhône,REP+,CP,Français,19,15,21.57,0,51.74,51.43
2018,24,Lille,Bouches-du-Rhône,REP+,CP,Mathématiques,17,15,21.57,1,57.68,48.81
2018,24,Lille,Bouches-du-Rhône,REP+,CE1,Français,17,15,21.57,1,62.23,51.07
2018,24,Lille,Bouches-du-Rhône,REP+,CE1,Mathématiques,18,15,21.57,1,64.35,49.82
2018,24,Lille,Bouches-du-Rhône,REP+,CM1,Français,17,15,21.57,1,76.07,72.02
2018,24,Lille,Bouches-du-Rhône,REP+,CM1,Mathématiques,20,15,21.57,0,57.96,50.19
2018,24,Lille,Bouches-du-Rhône,REP+,CM2,Français,14,15,21.57,1,78.14,70.03
2018,24,Lille,Bouches-du-Rhône,REP+,CM2,Mathématiques,20,15,21.57,0,67.74,60.4
2018,24,Lille,Bouches-du-Rhône,REP+,6e,Français,14,15,21.57,1,80.15,70.59
2018,24,Lille,Bouches-du-Rhône,REP+,6e,Mathématiques,16,15,21.57,1,75.99,67.94
2018,25,Bordeaux,Gironde,Hors EP,CP,Français,23,26,-4.82,0,68.15,55.65
2018,25,Bordeaux,Gironde,Hors EP,CP,Mathématiques,21,26,-4.82,0,72.19,58.28
2018,25,Bordeaux,Gironde,Hors EP,CE1,Français,17,26,-4.82,0,67.04,60.73
2018,25,Bordeaux,Gironde,Hors EP,CE1,Mathématiques,22,26,-4.82,0,68.29,67.51
2018,25,Bordeaux,Gironde,Hors EP,CM1,Français,15,26,-4.82,0,83.2,79.39
2018,25,Bordeaux,Gironde,Hors EP,CM1,Mathématiques,19,26,-4.82,0,75.81,62.79
2018,25,Bordeaux,Gironde,Hors EP,CM2,Français,20,26,-4.82,0,83.15,78.68
2018,25,Bordeaux,Gironde,Hors EP,CM2,Mathématiques,27,26,-4.82,0,73.81,74.72
2018,25,Bordeaux,Gironde,Hors EP,6e,Français,22,26,-4.82,0,95.71,79.62
2018,25,Bordeaux,Gironde,Hors EP,6e,Mathématiques,22,26,-4.82,0,86.47,89.69
2018,26,Nantes,Hérault,REP,CP,Français,17,19,-4.34,1,70.57,63.14
2018,26,Nantes,Hérault,REP,CP,Mathématiques,19,19,-4.34,0,53.64,53.16
2018,26,Nantes,Hérault,REP,CE1,Français,19,19,-4.34,0,51.86,53.6
2018,26,Nantes,Hérault,REP,CE1,Mathématiques,16,19,-4.34,1,60.99,56.18
2018,26,Nantes,Hérault,REP,CM1,Français,18,19,-4.34,1,73.36,69.04
2018,26,Nantes,Hérault,REP,CM1,Mathématiques,15,19,-4.34,1,71.65,60.8
2018,26,Nantes,Hérault,REP,CM2,Français,18,19,-4.34,1,82.73,66.22
2018,26,Nantes,Hérault,REP,CM2,Mathématiques,20,19,-4.34,0,67.96,51.75
2018,26,Nantes,Hérault,REP,6e,Français,13,19,-4.34,1,86.42,72.66
2018,26,Nantes,Hérault,REP,6e,Mathématiques,18,19,-4.34,1,83.35,72.81
2018,27,Paris,Loire,REP+,CP,Français,15,17,-13.12,1,63.03,55.7
2018,27,Paris,Loire,REP+,CP,Mathématiques,12,17,-13.12,1,46.76,42.63
2018,27,Paris,Loire,REP+,CE1,Français,13,17,-13.12,1,59.59,55.71
2018,27,Paris,Loire,REP+,CE1,Mathématiques,13,17,-13.12,1,63.15,54.56
2018,27,Paris,Loire,REP+,CM1,Français,12,17,-13.12,1,69.58,54.64
2018,27,Paris,Loire,REP+,CM1,Mathématiques,15,17,-13.12,1,64.89,58.39
2018,27,Paris,Loire,REP+,CM2,Français,18,17,-13.12,1,69.63,72.65
2018,27,Paris,Loire,REP+,CM2,Mathématiques,13,17,-13.12,1,63.68,58.65
2018,27,Paris,Loire,REP+,6e,Français,12,17,-13.12,1,74.04,67.33
2018,27,Paris,Loire,REP+,6e,Mathématiques,15,17,-13.12,1,71.63,68.64
2018,28,Lyon,Maine-et-Loire,REP+,CP,Français,16,22,16.36,1,59.53,51.15
2018,28,Lyon,Maine-et-Loire,REP+,CP,Mathématiques,21,22,16.36,0,43.69,43.88
2018,28,Lyon,Maine-et-Loire,REP+,CE1,Français,26,22,16.36,0,48.0,49.71
2018,28,Lyon,Maine-et-Loire,REP+,CE1,Mathématiques,20,22,16.36,0,51.5,50.05
2018,28,Lyon,Maine-et-Loire,REP+,CM1,Français,22,22,16.36,0,63.61,66.49
2018,28,Lyon,Maine-et-Loire,REP+,CM1,Mathématiques,22,22,16.36,0,58.02,48.7
2018,28,Lyon,Maine-et-Loire,REP+,CM2,Français,21,22,16.36,0,68.49,65.91
2018,28,Lyon,Maine-et-Loire,REP+,CM2,Mathématiques,22,22,16.36,0,64.35,61.21
2018,28,Lyon,Maine-et-Loire,REP+,6e,Français,24,22,16.36,0,67.87,59.37
2018,28,Lyon,Maine-et-Loire,REP+,6e,Mathématiques,22,22,16.36,0,52.18,52.39
2018,29,Lille,Moselle,REP,CP,Français,12,14,5.73,1,64.48,65.7
2018,29,Lille,Moselle,REP,CP,Mathématiques,14,14,5.73,1,74.78,65.84
2018,29,Lille,Moselle,REP,CE1,Français,16,14,5.73,1,78.96,69.35
2018,29,Lille,Moselle,REP,CE1,Mathématiques,12,14,5.73,1,68.19,61.19
2018,29,Lille,Moselle,REP,CM1,Français,12,14,5.73,1,76.54,63.33
2018,29,Lille,Moselle,REP,CM1,Mathématiques,17,14,5.73,1,74.84,64.48
2018,29,Lille,Moselle,REP,CM2,Français,15,14,5.73,1,83.69,74.99
2018,29,Lille,Moselle,REP,CM2,Mathématiques,13,14,5.73,1,75.0,71.52
2018,29,Lille,Moselle,REP,6e,Français,14,14,5.73,1,81.31,72.51
